,count,zip
427,6,92236.0
428,7,92240.0
429,18,92243.0
430,1,92249.0
431,2,92250.0
432,2,92251.0
433,1,92252.0
434,8,92253.0
435,1,92256.0
436,1,92258.0
437,9,92260.0
438,15,92262.0
439,4,92264.0
440,4,92270.0
441,2,92274.0
442,2,92276.0
443,9,92277.0
444,2,92278.0
445,11,92284.0
446,3,92301.0
447,1,92305.0
448,10,92307.0
449,11,92308.0
450,1,92309.0
451,11,92311.0
452,2,92313.0
453,2,92314.0
454,9,92315.0
455,4,92316.0
456,1,92317.0
457,1,92318.0
458,5,92320.0
459,16,92324.0
460,4,92325.0
461,1,92329.0
462,1,92334.0
463,31,92335.0
464,20,92336.0
465,8,92337.0
466,1,92342.0
467,21,92345.0
468,10,92346.0
469,3,92352.0
470,10,92354.0
471,1,92356.0
472,1,92357.0
473,1,92363.0
474,2,92371.0
475,11,92373.0
476,22,92374.0
477,24,92376.0
478,6,92377.0
479,12,92392.0
480,1,92393.0
481,4,92394.0
482,10,92395.0
483,1,92397.0
484,14,92399.0
485,3,92401.0
486,21,92404.0
487,10,92405.0
488,9,92407.0
489,11,92408.0
490,9,92410.0
491,7,92411.0
492,3,92415.0
493,7,92501.0
494,1,92502.0
495,24,92503.0
496,9,92504.0
497,14,92505.0
498,22,92506.0
499,13,92507.0
500,6,92508.0
501,9,92509.0
502,1,92515.0
503,13,92530.0
504,7,92532.0
505,1,92537.0
506,7,92543.0
507,7,92544.0
508,7,92545.0
509,6,92551.0
510,15,92553.0
511,8,92555.0
512,3,92557.0
513,20,92562.0
514,12,92563.0
515,3,92570.0
516,4,92571.0
517,3,92582.0
518,10,92583.0
519,4,92584.0
520,1,92585.0
521,5,92586.0
522,1,92589.0
523,4,92590.0
524,17,92591.0
525,15,92592.0
526,5,92595.0
527,1,92596.0
528,6,92602.0
529,1,92603.0
530,15,92604.0
531,8,92606.0
532,2,92610.0
533,7,92612.0
534,6,92614.0
535,1,92617.0
536,21,92618.0
537,7,92620.0
538,4,92625.0
539,30,92626.0
540,23,92627.0
541,8,92629.0
