,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256
98,90292,"21,576","10,583","14,585","$703,200",2.04,1.10,"12,654","$100,441","10,729",50&percnt;,"10,847",50&percnt;,"17,049",79.0&percnt;,"1,053",4.9&percnt;,58,0.3&percnt;,"2,000",9.3&percnt;,33,0.2&percnt;,455,2.1&percnt;,928,4.3&percnt;,"3,623",29&percnt;,834,7&percnt;,"6,155",49&percnt;,"2,042",16&percnt;,"11,419",90&percnt;,"1,235",10&percnt;,"21,546",99.9&percnt;,0,0.0&percnt;,0,0.0&percnt;,0,0.0&percnt;,0,0.0&percnt;,0,0.0&percnt;,0,0.0&percnt;,30,0.1&percnt;,"3,015",21&percnt;,"1,083",7&percnt;,"8,556",59&percnt;,"1,931",13&percnt;,872,45&percnt;,34,2&percnt;,131,7&percnt;,24,1&percnt;,725,38&percnt;,0,0&percnt;,145,8&percnt;,663,8&percnt;,"4,061",47&percnt;,"3,303",39&percnt;,536,6&percnt;,"9,206",47&percnt;,"4,936",25&percnt;,"5,379",28&percnt;,"9,206",47&percnt;,"4,936",25&percnt;,"5,379",28&percnt;,"9,708",78.2&percnt;,117,0.9&percnt;,9,0.1&percnt;,91,0.7&percnt;,631,5.1&percnt;,"1,856",15.0&percnt;,194,2&percnt;,"1,981",23&percnt;,546,6&percnt;,"3,498",41&percnt;,"1,522",18&percnt;,672,8&percnt;,207,2&percnt;,760,50.4&percnt;,652,43.3&percnt;,95,6.3&percnt;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,90293,"12,132","4,235","6,968","$496,400",2.86,1.54,"6,575","$87,308","5,890",49&percnt;,"6,242",51&percnt;,"9,220",76.0&percnt;,692,5.7&percnt;,35,0.3&percnt;,"1,211",10.0&percnt;,21,0.2&percnt;,300,2.5&percnt;,653,5.4&percnt;,"2,029",31&percnt;,531,8&percnt;,"2,930",45&percnt;,"1,085",17&percnt;,"5,770",88&percnt;,805,12&percnt;,"12,048",99.3&percnt;,0,0.0&percnt;,0,0.0&percnt;,84,0.7&percnt;,0,0.0&percnt;,0,0.0&percnt;,0,0.0&percnt;,0,0.0&percnt;,"2,513",36&percnt;,486,7&percnt;,"3,576",51&percnt;,393,6&percnt;,201,51.1&percnt;,8,2.0&percnt;,33,8.4&percnt;,9,2.3&percnt;,84,21.4&percnt;,1,0.3&percnt;,57,14.5&percnt;,241,7&percnt;,"1,342",38&percnt;,"1,548",44&percnt;,361,10&percnt;,"6,204",54&percnt;,"3,106",27&percnt;,"2,284",20&percnt;,"6,204",54&percnt;,"3,106",27&percnt;,"2,284",20&percnt;,"7,181",86.7&percnt;,106,1.3&percnt;,0,0.0&percnt;,20,0.2&percnt;,208,2.5&percnt;,763,9.2&percnt;,256,5&percnt;,"1,367",26&percnt;,263,5&percnt;,"2,122",40&percnt;,746,14&percnt;,230,4&percnt;,265,5&percnt;,389,60.8&percnt;,247,38.6&percnt;,4,0.6&percnt;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,90301,"36,568","14,760","12,565","$280,800",2.48,0.00,"11,895","$38,160","17,633",48&percnt;,"18,935",52&percnt;,"11,201",30.6&percnt;,"11,826",32.3&percnt;,315,0.9&percnt;,742,2.0&percnt;,52,0.1&percnt;,"10,919",29.9&percnt;,"1,513",4.1&percnt;,"4,325",36&percnt;,"3,732",31&percnt;,"3,151",26&percnt;,687,6&percnt;,"6,759",57&percnt;,"5,136",43&percnt;,"35,810",97.9&percnt;,0,0.0&percnt;,0,0.0&percnt;,257,0.7&percnt;,0,0.0&percnt;,0,0.0&percnt;,0,0.0&percnt;,501,1.4&percnt;,"2,702",22&percnt;,444,4&percnt;,"8,749",70&percnt;,670,5&percnt;,510,76&percnt;,12,2&percnt;,69,10&percnt;,13,2&percnt;,9,1&percnt;,0,0&percnt;,57,9&percnt;,709,8&percnt;,"3,900",42&percnt;,"3,576",38&percnt;,"1,151",12&percnt;,"10,439",37&percnt;,"7,225",26&percnt;,"10,651",38&percnt;,"10,439",37&percnt;,"7,225",26&percnt;,"10,651",38&percnt;,"12,525",82.2&percnt;,"1,439",9.4&percnt;,0,0.0&percnt;,48,0.3&percnt;,662,4.3&percnt;,557,3.7&percnt;,"3,826",34.6&percnt;,"5,093",46.1&percnt;,678,6.1&percnt;,"1,170",10.6&percnt;,189,1.7&percnt;,54,0.5&percnt;,40,0.4&percnt;,"6,596",83.3&percnt;,775,9.8&percnt;,545,6.9&percnt;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,90302,"29,415","15,537","11,431","$327,400",1.89,0.00,"10,684","$43,042","13,803",47&percnt;,"15,612",53&percnt;,"5,991",20.4&percnt;,"14,706",50.0&percnt;,185,0.6&percnt;,371,1.3&percnt;,74,0.3&percnt;,"6,772",23.0&percnt;,"1,316",4.5&percnt;,"3,245",30&percnt;,"3,659",34&percnt;,"3,070",29&percnt;,710,7&percnt;,"6,396",60&percnt;,"4,288",40&percnt;,"29,225",99.4&percnt;,0,0.0&percnt;,0,0.0&percnt;,142,0.5&percnt;,0,0.0&percnt;,0,0.0&percnt;,0,0.0&percnt;,48,0.2&percnt;,"2,834",25&percnt;,363,3&percnt;,"7,487",65&percnt;,747,7&percnt;,511,68&percnt;,27,4&percnt;,65,9&percnt;,12,2&percnt;,6,1&percnt;,0,0&percnt;,126,17&percnt;,657,9&percnt;,"2,753",36&percnt;,"3,472",45&percnt;,780,10&percnt;,"9,767",43&percnt;,"6,030",27&percnt;,"6,914",30&percnt;,"9,767",43&percnt;,"6,030",27&percnt;,"6,914",30&percnt;,"11,316",85.1&percnt;,"1,006",7.6&percnt;,0,0.0&percnt;,41,0.3&percnt;,403,3.0&percnt;,537,4.0&percnt;,"2,400",27.8&percnt;,"3,891",45.1&percnt;,677,7.8&percnt;,"1,132",13.1&percnt;,309,3.6&percnt;,165,1.9&percnt;,51,0.6&percnt;,"5,725",82.8&percnt;,733,10.6&percnt;,459,6.6&percnt;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,90303,"26,176","11,799","7,646","$330,500",2.22,0.02,"7,290","$41,622","12,733",49&percnt;,"13,443",51&percnt;,"6,449",24.6&percnt;,"9,097",34.8&percnt;,165,0.6&percnt;,165,0.6&percnt;,182,0.7&percnt;,"9,053",34.6&percnt;,"1,065",4.1&percnt;,"3,232",44&percnt;,"2,526",35&percnt;,"1,211",17&percnt;,321,4&percnt;,"3,541",49&percnt;,"3,749",51&percnt;,"26,067",99.6&percnt;,0,0.0&percnt;,0,0.0&percnt;,0,0.0&percnt;,0,0.0&percnt;,0,0.0&percnt;,0,0.0&percnt;,109,0.4&percnt;,"2,560",33&percnt;,456,6&percnt;,"4,274",56&percnt;,356,5&percnt;,216,61&percnt;,23,6&percnt;,35,10&percnt;,8,2&percnt;,13,4&percnt;,0,0&percnt;,61,17&percnt;,174,4&percnt;,"1,261",30&percnt;,"2,077",49&percnt;,715,17&percnt;,"6,721",35&percnt;,"4,696",25&percnt;,"7,697",40&percnt;,"6,721",35&percnt;,"4,696",25&percnt;,"7,697",40&percnt;,"8,522",85.6&percnt;,764,7.7&percnt;,0,0.0&percnt;,22,0.2&percnt;,386,3.9&percnt;,265,2.7&percnt;,"2,851",42.2&percnt;,"2,981",44.2&percnt;,368,5.5&percnt;,443,6.6&percnt;,88,1.3&percnt;,2,0.0&percnt;,15,0.2&percnt;,"5,966",85.3&percnt;,382,5.5&percnt;,645,9.2&percnt;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,90304,"28,210","18,007","6,946","$312,000",1.57,0.00,"6,634","$37,783","14,503",51&percnt;,"13,707",49&percnt;,"10,751",38&percnt;,"1,218",4&percnt;,263,1&percnt;,339,1&percnt;,246,1&percnt;,"14,184",50&percnt;,"1,209",4&percnt;,"3,555",54&percnt;,"2,037",31&percnt;,741,11&percnt;,301,5&percnt;,"2,591",39&percnt;,"4,043",61&percnt;,"28,028",99.4&percnt;,110,0.4&percnt;,0,0.0&percnt;,0,0.0&percnt;,0,0.0&percnt;,0,0.0&percnt;,0,0.0&percnt;,72,0.3&percnt;,"1,741",25&percnt;,328,5&percnt;,"4,565",66&percnt;,312,4&percnt;,210,67&percnt;,12,4&percnt;,20,6&percnt;,7,2&percnt;,8,3&percnt;,0,0&percnt;,55,18&percnt;,434,10&percnt;,"1,582",35&percnt;,"1,805",40&percnt;,692,15&percnt;,"6,390",32&percnt;,"6,224",31&percnt;,"7,553",37&percnt;,"6,390",32&percnt;,"6,224",31&percnt;,"7,553",37&percnt;,"8,994",80&percnt;,"1,102",10&percnt;,0,0&percnt;,0,0&percnt;,731,6&percnt;,420,4&percnt;,"3,996",51.0&percnt;,"3,209",41.0&percnt;,310,4.0&percnt;,265,3.4&percnt;,34,0.4&percnt;,7,0.1&percnt;,11,0.1&percnt;,"6,834",87&percnt;,260,3&percnt;,731,9&percnt;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,90305,"14,853","6,404","6,166","$360,000",2.32,0.01,"5,933","$64,735","6,552",44&percnt;,"8,301",56&percnt;,817,5.5&percnt;,"12,436",83.7&percnt;,47,0.3&percnt;,114,0.8&percnt;,25,0.2&percnt;,918,6.2&percnt;,496,3.3&percnt;,"1,966",33&percnt;,"1,839",31&percnt;,"1,844",31&percnt;,284,5&percnt;,"4,145",70&percnt;,"1,788",30&percnt;,"14,573",98.1&percnt;,0,0.0&percnt;,0,0.0&percnt;,6,0.0&percnt;,0,0.0&percnt;,0,0.0&percnt;,0,0.0&percnt;,274,1.8&percnt;,"3,299",54&percnt;,581,9&percnt;,"2,053",33&percnt;,233,4&percnt;,104,45&percnt;,6,3&percnt;,39,17&percnt;,11,5&percnt;,9,4&percnt;,0,0&percnt;,64,27&percnt;,82,4&percnt;,663,34&percnt;,720,37&percnt;,502,26&percnt;,"4,991",40&percnt;,"2,512",20&percnt;,"4,824",39&percnt;,"4,991",40&percnt;,"2,512",20&percnt;,"4,824",39&percnt;,"5,420",86&percnt;,231,4&percnt;,0,0&percnt;,0,0&percnt;,173,3&percnt;,449,7&percnt;,746,18&percnt;,"2,062",49&percnt;,325,8&percnt;,674,16&percnt;,249,6&percnt;,133,3&percnt;,36,1&percnt;,"1,968",81&percnt;,327,13&percnt;,149,6&percnt;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,90401,"6,722","7,917","4,682","$676,800",0.85,0.17,"4,188","$62,794","3,524",52&percnt;,"3,198",48&percnt;,"5,085",75.6&percnt;,383,5.7&percnt;,30,0.4&percnt;,704,10.5&percnt;,8,0.1&percnt;,210,3.1&percnt;,302,4.5&percnt;,652,16&percnt;,257,6&percnt;,"2,686",64&percnt;,593,14&percnt;,"3,881",93&percnt;,307,7&percnt;,"6,234",92.7&percnt;,0,0.0&percnt;,0,0.0&percnt;,45,0.7&percnt;,0,0.0&percnt;,0,0.0&percnt;,0,0.0&percnt;,443,6.6&percnt;,206,4&percnt;,54,1&percnt;,"3,928",84&percnt;,494,11&percnt;,259,52.4&percnt;,18,3.6&percnt;,1,0.2&percnt;,1,0.2&percnt;,164,33.2&percnt;,0,0.0&percnt;,51,10.3&percnt;,800,19&percnt;,"2,222",54&percnt;,960,23&percnt;,154,4&percnt;,"3,006",46&percnt;,"1,640",25&percnt;,"1,826",28&percnt;,"3,006",46&percnt;,"1,640",25&percnt;,"1,826",28&percnt;,"2,827",69&percnt;,121,3&percnt;,0,0&percnt;,87,2&percnt;,784,19&percnt;,256,6&percnt;,234,7&percnt;,889,26&percnt;,148,4&percnt;,"1,225",36&percnt;,497,15&percnt;,320,9&percnt;,75,2&percnt;,265,84&percnt;,37,12&percnt;,13,4&percnt;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,90403,"24,525","17,180","15,172","$923,800",1.43,0.10,"13,970","$71,424","11,426",47&percnt;,"13,099",53&percnt;,"20,398",83.2&percnt;,461,1.9&percnt;,39,0.2&percnt;,"2,061",8.4&percnt;,23,0.1&percnt;,471,1.9&percnt;,"1,072",4.4&percnt;,"3,627",26&percnt;,"1,213",9&percnt;,"7,293",52&percnt;,"1,837",13&percnt;,"11,940",85&percnt;,"2,030",15&percnt;,"24,286",99.0&percnt;,0,0.0&percnt;,0,0.0&percnt;,65,0.3&percnt;,25,0.1&percnt;,0,0.0&percnt;,0,0.0&percnt;,149,0.6&percnt;,"2,611",17&percnt;,792,5&percnt;,"10,567",70&percnt;,"1,202",8&percnt;,568,47&percnt;,35,3&percnt;,42,3&percnt;,15,1&percnt;,272,23&percnt;,0,0&percnt;,270,22&percnt;,"1,170",11&percnt;,"4,684",44&percnt;,"4,106",38&percnt;,801,7&percnt;,"9,895",45&percnt;,"6,451",30&percnt;,"5,520",25&percnt;,"9,895",45&percnt;,"6,451",30&percnt;,"5,520",25&percnt;,"11,166",78.6&percnt;,513,3.6&percnt;,9,0.1&percnt;,38,0.3&percnt;,"1,218",8.6&percnt;,"1,269",8.9&percnt;,315,3&percnt;,"1,377",15&percnt;,373,4&percnt;,"3,756",41&percnt;,"1,603",18&percnt;,"1,110",12&percnt;,550,6&percnt;,"1,930",73.1&percnt;,532,20.2&percnt;,178,6.7&percnt;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,90404,"21,360","10,723","10,865","$622,000",1.99,0.00,"10,089","$59,695","10,292",48&percnt;,"11,068",52&percnt;,"13,956",65.3&percnt;,"1,689",7.9&percnt;,141,0.7&percnt;,"2,297",10.8&percnt;,39,0.2&percnt;,"2,150",10.1&percnt;,"1,088",5.1&percnt;,"2,534",25&percnt;,"1,548",15&percnt;,"4,397",44&percnt;,"1,610",16&percnt;,"8,170",81&percnt;,"1,919",19&percnt;,"20,310",95.1&percnt;,0,0.0&percnt;,17,0.1&percnt;,605,2.8&percnt;,0,0.0&percnt;,56,0.3&percnt;,0,0.0&percnt;,372,1.7&percnt;,"1,681",15&percnt;,440,4&percnt;,"7,968",73&percnt;,776,7&percnt;,413,53.2&percnt;,27,3.5&percnt;,51,6.6&percnt;,8,1.0&percnt;,127,16.4&percnt;,1,0.1&percnt;,149,19.2&percnt;,440,6&percnt;,"3,367",44&percnt;,"3,133",41&percnt;,734,10&percnt;,"7,287",40&percnt;,"5,476",30&percnt;,"5,499",30&percnt;,"7,287",40&percnt;,"5,476",30&percnt;,"5,499",30&percnt;,"7,710",71.8&percnt;,853,7.9&percnt;,10,0.1&percnt;,139,1.3&percnt;,"1,108",10.3&percnt;,918,8.5&percnt;,614,8&percnt;,"2,353",32&percnt;,352,5&percnt;,"2,556",35&percnt;,934,13&percnt;,315,4&percnt;,198,3&percnt;,"1,887",80.0&percnt;,370,15.7&percnt;,101,4.3&percnt;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,90405,"27,186","10,272","15,370","$1,000,001",2.65,0.18,"14,376","$75,717","13,364",49&percnt;,"13,822",51&percnt;,"21,603",79.5&percnt;,884,3.3&percnt;,114,0.4&percnt;,"2,256",8.3&percnt;,42,0.2&percnt;,"1,094",4.0&percnt;,"1,193",4.4&percnt;,"4,119",29&percnt;,"1,399",10&percnt;,"6,879",48&percnt;,"1,979",14&percnt;,"11,985",83&percnt;,"2,391",17&percnt;,"26,840",98.7&percnt;,2,0.0&percnt;,0,0.0&percnt;,68,0.3&percnt;,0,0.0&percnt;,0,0.0&percnt;,0,0.0&percnt;,276,1.0&percnt;,"3,698",24&percnt;,"1,066",7&percnt;,"9,612",63&percnt;,994,6&percnt;,421,42&percnt;,30,3&percnt;,34,3&percnt;,32,3&percnt;,303,30&percnt;,0,0&percnt;,174,18&percnt;,476,5&percnt;,"5,046",52&percnt;,"3,209",33&percnt;,881,9&percnt;,"10,058",41&percnt;,"7,811",32&percnt;,"6,830",28&percnt;,"10,058",41&percnt;,"7,811",32&percnt;,"6,830",28&percnt;,"11,820",77.4&percnt;,357,2.3&percnt;,0,0.0&percnt;,52,0.3&percnt;,"1,542",10.1&percnt;,"1,506",9.9&percnt;,394,4&percnt;,"2,526",25&percnt;,538,5&percnt;,"3,560",35&percnt;,"1,825",18&percnt;,910,9&percnt;,514,5&percnt;,"2,211",65.5&percnt;,"1,070",31.7&percnt;,96,2.8&percnt;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,90501,"43,180","7,678","15,364","$505,900",5.62,0.04,"14,610","$55,138","21,483",50&percnt;,"21,697",50&percnt;,"18,660",43.2&percnt;,"2,301",5.3&percnt;,281,0.7&percnt;,"10,221",23.7&percnt;,305,0.7&percnt;,"9,216",21.3&percnt;,"2,196",5.1&percnt;,"7,099",49&percnt;,"3,186",22&percnt;,"3,374",23&percnt;,951,7&percnt;,"8,930",61&percnt;,"5,680",39&percnt;,"42,912",99.4&percnt;,0,0.0&percnt;,4,0.0&percnt;,8,0.0&percnt;,0,0.0&percnt;,0,0.0&percnt;,0,0.0&percnt;,256,0.6&percnt;,"5,177",34&percnt;,"1,428",9&percnt;,"8,005",52&percnt;,754,5&percnt;,466,62&percnt;,10,1&percnt;,112,15&percnt;,22,3&percnt;,29,4&percnt;,0,0&percnt;,115,15&percnt;,316,4&percnt;,"2,781",35&percnt;,"3,356",42&percnt;,"1,462",18&percnt;,"13,475",41&percnt;,"8,569",26&percnt;,"11,016",33&percnt;,"13,475",41&percnt;,"8,569",26&percnt;,"11,016",33&percnt;,"16,976",87.7&percnt;,925,4.8&percnt;,0,0.0&percnt;,23,0.1&percnt;,975,5.0&percnt;,467,2.4&percnt;,"3,008",22&percnt;,"5,460",40&percnt;,"1,050",8&percnt;,"2,899",21&percnt;,843,6&percnt;,279,2&percnt;,118,1&percnt;,"7,741",84.2&percnt;,735,8.0&percnt;,719,7.8&percnt;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,90502,"18,010","8,059","5,939","$340,500",2.23,0.01,"5,717","$63,721","8,811",49&percnt;,"9,199",51&percnt;,"6,223",35&percnt;,"1,269",7&percnt;,166,1&percnt;,"6,017",33&percnt;,256,1&percnt;,"3,194",18&percnt;,885,5&percnt;,"2,898",51&percnt;,"1,177",21&percnt;,"1,290",23&percnt;,352,6&percnt;,"3,766",66&percnt;,"1,951",34&percnt;,"16,815",93&percnt;,0,0&percnt;,0,0&percnt;,654,4&percnt;,376,2&percnt;,0,0&percnt;,0,0&percnt;,165,1&percnt;,"3,203",54&percnt;,914,15&percnt;,"1,600",27&percnt;,222,4&percnt;,74,33&percnt;,6,3&percnt;,71,32&percnt;,9,4&percnt;,16,7&percnt;,0,0&percnt;,46,21&percnt;,85,5&percnt;,546,32&percnt;,536,32&percnt;,524,31&percnt;,"5,917",42&percnt;,"2,934",21&percnt;,"5,118",37&percnt;,"5,917",42&percnt;,"2,934",21&percnt;,"5,118",37&percnt;,"7,196",91&percnt;,158,2&percnt;,0,0&percnt;,0,0&percnt;,326,4&percnt;,270,3&percnt;,"1,108",19.6&percnt;,"2,490",44.0&percnt;,347,6.1&percnt;,"1,246",22.0&percnt;,312,5.5&percnt;,121,2.1&percnt;,41,0.7&percnt;,"2,036",75&percnt;,476,18&percnt;,189,7&percnt;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,90503,"44,383","8,379","17,948","$628,700",5.30,0.01,"17,183","$76,082","21,481",48&percnt;,"22,902",52&percnt;,"21,370",48.1&percnt;,"1,113",2.5&percnt;,138,0.3&percnt;,"17,980",40.5&percnt;,107,0.2&percnt;,"1,548",3.5&percnt;,"2,127",4.8&percnt;,"9,330",54&percnt;,"2,443",14&percnt;,"4,508",26&percnt;,902,5&percnt;,"11,344",66&percnt;,"5,839",34&percnt;,"43,874",98.9&percnt;,0,0.0&percnt;,3,0.0&percnt;,395,0.9&percnt;,0,0.0&percnt;,0,0.0&percnt;,0,0.0&percnt;,111,0.3&percnt;,"6,616",37&percnt;,"2,464",14&percnt;,"8,103",45&percnt;,765,4&percnt;,511,67&percnt;,34,4&percnt;,55,7&percnt;,25,3&percnt;,47,6&percnt;,0,0&percnt;,93,12&percnt;,388,5&percnt;,"2,922",35&percnt;,"2,981",36&percnt;,"1,959",24&percnt;,"15,275",41&percnt;,"8,731",24&percnt;,"13,084",35&percnt;,"15,275",41&percnt;,"8,731",24&percnt;,"13,084",35&percnt;,"18,618",87.7&percnt;,410,1.9&percnt;,0,0.0&percnt;,20,0.1&percnt;,911,4.3&percnt;,"1,276",6.0&percnt;,722,5&percnt;,"5,137",33&percnt;,"1,059",7&percnt;,"5,630",36&percnt;,"1,919",12&percnt;,485,3&percnt;,596,4&percnt;,"6,812",75.6&percnt;,"1,825",20.3&percnt;,374,4.2&percnt;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,90504,"32,102","7,213","11,986","$516,700",4.45,0.02,"11,580","$72,194","15,886",49&percnt;,"16,216",51&percnt;,"13,272",41.3&percnt;,"1,247",3.9&percnt;,147,0.5&percnt;,"12,268",38.2&percnt;,188,0.6&percnt;,"2,721",8.5&percnt;,"2,259",7.0&percnt;,"6,146",53&percnt;,"2,243",19&percnt;,"2,573",22&percnt;,618,5&percnt;,"7,550",65&percnt;,"4,030",35&percnt;,"31,936",99.5&percnt;,0,0.0&percnt;,9,0.0&percnt;,0,0.0&percnt;,0,0.0&percnt;,0,0.0&percnt;,0,0.0&percnt;,157,0.5&percnt;,"5,195",43&percnt;,"1,947",16&percnt;,"4,438",37&percnt;,406,3&percnt;,247,61&percnt;,8,2&percnt;,44,11&percnt;,18,4&percnt;,16,4&percnt;,0,0&percnt;,73,18&percnt;,309,7&percnt;,"1,369",32&percnt;,"1,521",35&percnt;,"1,101",26&percnt;,"11,204",43&percnt;,"6,195",24&percnt;,"8,790",34&percnt;,"11,204",43&percnt;,"6,195",24&percnt;,"8,790",34&percnt;,"14,409",92.9&percnt;,346,2.2&percnt;,10,0.1&percnt;,27,0.2&percnt;,331,2.1&percnt;,391,2.5&percnt;,871,8&percnt;,"5,117",48&percnt;,"1,052",10&percnt;,"2,526",23&percnt;,838,8&percnt;,215,2&percnt;,146,1&percnt;,"4,117",79.7&percnt;,897,17.4&percnt;,151,2.9&percnt;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,90505,"36,678","6,330","14,846","$682,100",5.79,0.01,"14,244","$81,772","17,684",48&percnt;,"18,994",52&percnt;,"20,709",56.5&percnt;,792,2.2&percnt;,110,0.3&percnt;,"12,062",32.9&percnt;,106,0.3&percnt;,984,2.7&percnt;,"1,915",5.2&percnt;,"7,949",56&percnt;,"1,998",14&percnt;,"3,615",25&percnt;,682,5&percnt;,"9,395",66&percnt;,"4,849",34&percnt;,"36,372",99.2&percnt;,0,0.0&percnt;,50,0.1&percnt;,175,0.5&percnt;,0,0.0&percnt;,0,0.0&percnt;,0,0.0&percnt;,81,0.2&percnt;,"5,743",39&percnt;,"2,438",16&percnt;,"6,063",41&percnt;,602,4&percnt;,335,56&percnt;,30,5&percnt;,56,9&percnt;,42,7&percnt;,55,9&percnt;,0,0&percnt;,84,14&percnt;,279,5&percnt;,"2,033",34&percnt;,"2,588",43&percnt;,"1,136",19&percnt;,"11,895",40&percnt;,"6,932",23&percnt;,"11,073",37&percnt;,"11,895",40&percnt;,"6,932",23&percnt;,"11,073",37&percnt;,"14,904",88.9&percnt;,432,2.6&percnt;,0,0.0&percnt;,25,0.1&percnt;,689,4.1&percnt;,710,4.2&percnt;,566,5&percnt;,"4,207",35&percnt;,911,8&percnt;,"3,988",33&percnt;,"1,582",13&percnt;,375,3&percnt;,389,3&percnt;,"4,970",73.6&percnt;,"1,340",19.8&percnt;,447,6.6&percnt;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
